Date_Time,Minute,Status,Min_Class
2020-06-13-05:30:12,30,0,f4
2020-06-13-05:34:21,34,0,f4
2020-06-13-05:34:34,34,1,f4
2020-06-13-05:38:38,38,0,f4
2020-06-13-06:23:27,23,0,f3
2020-06-13-06:23:32,23,1,f3
2020-06-13-07:01:50,1,1,f1
2020-06-13-07:05:16,5,0,f1
2020-06-13-07:34:09,34,0,f4
2020-06-13-07:38:08,38,1,f4
2020-06-13-07:45:20,45,0,f5
2020-06-13-07:59:09,59,0,2020-06-13 07:59:09
2020-06-13-07:59:14,59,1,2020-06-13 07:59:14
2020-06-13-08:21:43,21,1,f3
2020-06-13-09:22:48,22,0,f3
2020-06-13-09:22:52,22,0,f3
2020-06-13-09:22:57,22,1,f3
2020-06-13-09:31:36,31,1,f4
2020-06-13-09:35:14,35,1,f4
2020-06-13-09:39:18,39,0,2020-06-13 09:39:18
2020-06-13-10:08:43,8,1,f1
2020-06-13-10:16:34,16,0,f2
2020-06-13-10:24:48,24,1,f3
2020-06-13-10:26:48,26,0,f3
2020-06-13-10:27:54,27,1,f3
2020-06-13-10:53:54,53,0,f6
2020-06-13-11:16:40,16,0,f2
2020-06-13-11:16:45,16,1,f2
2020-06-13-11:40:36,40,1,f5
2020-06-13-11:48:06,48,0,f5
2020-06-13-11:49:54,49,1,2020-06-13 11:49:54
2020-06-13-11:49:55,49,1,2020-06-13 11:49:55
2020-06-13-11:53:46,53,0,f6
2020-06-13-11:53:51,53,1,f6
2020-06-13-11:53:58,53,0,f6
2020-06-13-11:59:39,59,1,2020-06-13 11:59:39
2020-06-13-12:02:20,2,0,f1
2020-06-13-12:04:42,4,1,f1
2020-06-13-12:07:24,7,0,f1
2020-06-13-12:23:36,23,1,f3
2020-06-13-12:25:37,25,0,f3
2020-06-13-12:40:20,40,1,f5
2020-06-13-12:41:00,41,1,f5
2020-06-13-12:44:23,44,0,f5
2020-06-13-12:47:27,47,0,f5
2020-06-13-12:47:33,47,1,f5
2020-06-13-12:53:18,53,1,f6
2020-06-13-12:55:18,55,0,f6
2020-06-13-13:06:45,6,1,f1
2020-06-13-13:11:05,11,1,f2
2020-06-13-13:15:06,15,0,f2
2020-06-13-13:17:26,17,1,f2
2020-06-13-13:19:31,19,0,2020-06-13 13:19:31
2020-06-13-13:32:50,32,1,f4
2020-06-13-13:35:31,35,0,f4
2020-06-13-13:35:48,35,0,f4
2020-06-13-13:35:54,35,1,f4
2020-06-13-13:37:55,37,1,f4
2020-06-13-13:41:19,41,0,f5
2020-06-13-13:47:10,47,1,f5
2020-06-13-13:48:39,48,1,f5
2020-06-13-13:49:10,49,0,2020-06-13 13:49:10
2020-06-13-13:53:02,53,1,f6
2020-06-13-13:55:02,55,0,f6
2020-06-13-13:55:43,55,0,f6
2020-06-13-13:58:32,58,0,f6
2020-06-13-13:59:56,59,1,2020-06-13 13:59:56
2020-06-13-14:00:23,0,1,f1
2020-06-13-14:02:59,2,1,f1
2020-06-13-14:05:40,5,0,f1
2020-06-13-14:35:32,35,0,f4
2020-06-13-14:36:09,36,1,f4
2020-06-13-14:36:35,36,1,f4
2020-06-13-14:38:35,38,0,f4
2020-06-13-14:41:35,41,0,f5
2020-06-13-14:45:16,45,0,f5
2020-06-13-14:52:57,52,1,f6
2020-06-13-15:01:48,1,1,f1
2020-06-13-15:09:43,9,0,2020-06-13 15:09:43
2020-06-13-15:15:04,15,1,f2
2020-06-13-15:16:53,16,1,f2
2020-06-13-15:22:29,22,0,f3
2020-06-13-15:28:51,28,0,f3
2020-06-13-15:49:05,49,1,2020-06-13 15:49:05
2020-06-13-16:00:23,0,0,f1
2020-06-13-16:00:29,0,1,f1
2020-06-13-16:10:36,10,1,f2
2020-06-13-16:12:18,12,0,f2
2020-06-13-16:28:52,28,1,f3
2020-06-13-16:32:58,32,0,f4
2020-06-13-16:33:46,33,1,f4
2020-06-13-16:42:37,42,1,f5
2020-06-13-16:46:00,46,0,f5
2020-06-13-16:49:50,49,1,2020-06-13 16:49:50
2020-06-13-16:53:04,53,1,f6
2020-06-13-16:53:12,53,0,f6
2020-06-13-16:55:04,55,0,f6
2020-06-13-17:07:20,7,0,f1
2020-06-13-17:16:19,16,0,f2
2020-06-13-17:18:14,18,1,f2
2020-06-13-17:19:40,19,0,2020-06-13 17:19:40
2020-06-13-17:19:45,19,1,2020-06-13 17:19:45
2020-06-13-17:21:56,21,0,f3
2020-06-13-17:26:39,26,0,f3
2020-06-13-17:39:51,39,0,2020-06-13 17:39:51
2020-06-13-17:49:04,49,0,2020-06-13 17:49:04
2020-06-13-17:55:23,55,1,f6
2020-06-13-17:57:31,57,0,f6
2020-06-13-17:57:34,57,0,f6
2020-06-13-18:07:30,7,1,f1
2020-06-13-18:08:17,8,0,f1
2020-06-13-18:10:11,10,0,f2
2020-06-13-18:14:58,14,1,f2
2020-06-13-18:17:02,17,0,f2
2020-06-13-18:26:52,26,0,f3
2020-06-13-18:27:30,27,0,f3
2020-06-13-18:29:31,29,1,2020-06-13 18:29:31
2020-06-13-18:29:31,29,1,2020-06-13 18:29:31
2020-06-13-18:31:14,31,1,f4
2020-06-13-18:34:01,34,0,f4
2020-06-13-18:34:08,34,1,f4
2020-06-13-18:34:18,34,0,f4
2020-06-13-18:34:58,34,0,f4
2020-06-13-18:38:51,38,1,f4
2020-06-13-18:43:22,43,0,f5
2020-06-13-18:45:32,45,0,f5
2020-06-13-18:45:45,45,1,f5
2020-06-13-18:47:45,47,0,f5
2020-06-13-18:54:15,54,0,f6
2020-06-13-18:59:56,59,0,2020-06-13 18:59:56
2020-06-13-19:06:24,6,0,f1
2020-06-13-19:07:15,7,1,f1
2020-06-13-19:09:15,9,0,2020-06-13 19:09:15
2020-06-13-19:09:32,9,1,2020-06-13 19:09:32
2020-06-13-19:10:56,10,1,f2
2020-06-13-19:11:32,11,0,f2
2020-06-13-19:13:37,13,0,f2
2020-06-13-19:14:04,14,1,f2
2020-06-13-19:15:54,15,1,f2
2020-06-13-19:16:33,16,1,f2
2020-06-13-19:17:54,17,0,f2
2020-06-13-19:19:50,19,1,2020-06-13 19:19:50
2020-06-13-19:21:50,21,0,f3
2020-06-13-19:25:47,25,1,f3
2020-06-13-19:28:08,28,0,f3
2020-06-13-19:32:30,32,1,f4
2020-06-13-19:32:30,32,1,f4
2020-06-13-19:34:31,34,0,f4
2020-06-13-19:34:31,34,0,f4
2020-06-13-19:34:44,34,1,f4
2020-06-13-19:36:59,36,1,f4
2020-06-13-19:39:17,39,1,2020-06-13 19:39:17
2020-06-13-19:39:17,39,1,2020-06-13 19:39:17
2020-06-13-19:43:22,43,0,f5
2020-06-13-19:44:33,44,0,f5
2020-06-13-19:44:33,44,0,f5
2020-06-13-19:45:50,45,1,f5
2020-06-13-19:45:50,45,1,f5
2020-06-13-19:48:31,48,0,f5
2020-06-13-19:48:31,48,0,f5
2020-06-13-19:49:24,49,1,2020-06-13 19:49:24
2020-06-13-19:50:12,50,1,f6
2020-06-13-19:50:12,50,1,f6
2020-06-13-19:52:13,52,0,f6
2020-06-13-19:52:13,52,0,f6
2020-06-13-19:52:35,52,1,f6
2020-06-13-19:52:35,52,1,f6
2020-06-13-19:55:10,55,0,f6
2020-06-13-20:10:21,10,1,f2
2020-06-13-20:12:21,12,0,f2
2020-06-13-20:21:23,21,1,f3
2020-06-13-20:25:43,25,0,f3
2020-06-13-20:25:49,25,1,f3
2020-06-13-20:33:05,33,0,f4
2020-06-13-20:37:08,37,0,f4
2020-06-13-20:37:50,37,1,f4
2020-06-13-20:39:50,39,0,2020-06-13 20:39:50
2020-06-13-20:40:44,40,1,f5
2020-06-13-20:51:08,51,0,f6
2020-06-13-20:53:36,53,0,f6
2020-06-13-20:53:40,53,1,f6
2020-06-13-20:58:15,58,0,f6
2020-06-13-21:01:01,1,0,f1
2020-06-13-21:03:01,3,1,f1
2020-06-13-21:08:08,8,0,f1
2020-06-13-21:12:44,12,1,f2
2020-06-13-21:14:44,14,0,f2
2020-06-13-21:29:33,29,1,2020-06-13 21:29:33
2020-06-13-21:31:16,31,1,f4
2020-06-13-21:33:16,33,0,f4
2020-06-13-21:35:28,35,0,f4
2020-06-13-21:39:21,39,1,2020-06-13 21:39:21
2020-06-13-21:50:26,50,0,f6
2020-06-13-21:52:58,52,1,f6
2020-06-13-21:54:58,54,0,f6
2020-06-13-21:55:12,55,1,f6
2020-06-13-21:57:54,57,1,f6
2020-06-13-22:00:28,0,0,f1
2020-06-13-22:04:39,4,1,f1
2020-06-13-22:06:13,6,1,f1
2020-06-13-22:15:16,15,1,f2
2020-06-13-22:18:28,18,0,f2
2020-06-13-22:22:31,22,1,f3
2020-06-13-22:24:31,24,0,f3
2020-06-13-22:45:46,45,1,f5
2020-06-13-22:47:46,47,0,f5
2020-06-13-22:51:46,51,0,f6
2020-06-13-23:19:45,19,0,2020-06-13 23:19:45
2020-06-13-23:19:51,19,1,2020-06-13 23:19:51
2020-06-13-23:27:08,27,1,f3
