Date_Time,Minute,Status,Min_Class
49381,2020-07-01-12:39:51,39,0,2020-07-01 12:39:51
49382,2020-07-01-12:39:51,39,0,2020-07-01 12:39:51
49383,2020-07-01-12:39:52,39,1,2020-07-01 12:39:52
49384,2020-07-01-12:39:52,39,1,2020-07-01 12:39:52
49385,2020-07-01-12:39:53,39,1,2020-07-01 12:39:53
49386,2020-07-01-12:39:56,39,0,2020-07-01 12:39:56
49387,2020-07-01-12:39:56,39,0,2020-07-01 12:39:56
49388,2020-07-01-12:39:57,39,0,2020-07-01 12:39:57
49389,2020-07-01-12:39:57,39,1,2020-07-01 12:39:57
49390,2020-07-01-12:39:58,39,1,2020-07-01 12:39:58
49391,2020-07-01-12:39:58,39,0,2020-07-01 12:39:58
49392,2020-07-01-12:39:59,39,0,2020-07-01 12:39:59
49393,2020-07-01-12:39:59,39,1,2020-07-01 12:39:59
49394,2020-07-01-12:40:00,40,0,f5
49395,2020-07-01-12:40:00,40,1,f5
49396,2020-07-01-12:40:01,40,0,f5
49397,2020-07-01-12:40:02,40,0,f5
49398,2020-07-01-12:40:03,40,1,f5
49399,2020-07-01-12:40:03,40,1,f5
49400,2020-07-01-12:40:04,40,1,f5
49401,2020-07-01-12:40:04,40,1,f5
49402,2020-07-01-12:40:05,40,1,f5
49403,2020-07-01-12:40:08,40,0,f5
49404,2020-07-01-12:40:09,40,1,f5
49405,2020-07-01-12:40:09,40,0,f5
49406,2020-07-01-12:40:10,40,1,f5
49407,2020-07-01-12:40:10,40,1,f5
49408,2020-07-01-12:40:12,40,1,f5
49409,2020-07-01-12:40:13,40,1,f5
49410,2020-07-01-12:40:14,40,0,f5
49411,2020-07-01-12:40:14,40,1,f5
49412,2020-07-01-12:40:15,40,0,f5
49413,2020-07-01-12:40:17,40,0,f5
49414,2020-07-01-12:40:17,40,0,f5
49415,2020-07-01-12:40:18,40,0,f5
49416,2020-07-01-12:40:18,40,0,f5
49417,2020-07-01-12:40:19,40,0,f5
49418,2020-07-01-12:40:19,40,0,f5
49419,2020-07-01-12:40:20,40,1,f5
49420,2020-07-01-12:40:20,40,1,f5
49421,2020-07-01-12:40:21,40,1,f5
49422,2020-07-01-12:40:21,40,0,f5
49423,2020-07-01-12:40:22,40,0,f5
49424,2020-07-01-12:40:22,40,0,f5
49425,2020-07-01-12:40:23,40,1,f5
49426,2020-07-01-12:40:23,40,0,f5
49427,2020-07-01-12:40:24,40,1,f5
